TableID,Variable name,Unit,Description,How measured
,origSiteID,,Unique site ID of origin site,defined
,origBlockID,,Unique origin block ID as number 1 to 10,defined
,origPlotID,,Unique numeric origin plot ID for geographic location of the turf,defined
,destSiteID,,Unique site ID of destination site,defined
,destPlotID,,Unique destination block ID as number 1 to 10,defined
,destBlockID,,Unique numeric destination plot ID for geographic location of the turf,defined
,turfID,,"Unique ID of vegetation turf as originplotID, warming, nitrogen and grazing treatment and destinationplotID",defined
,warming,,Warming treatment as W for warming or A for ambient,defined
,grazing,,"Grazing treatment as C for control, I for intensive, M for medium and N for natural grazing",defined
,Nlevel,,Nitrogen level treatment as numeric value from 1 - 10,defined
,date,dd-mm-yyyy,Date of sampling,defined
,year,2019,Year of the sampling,defined
,species,,Latin genus and species name,identified
,recorder,,Name of person that recorded the data,recorded
,file,,name of file of raw data,recorded
,cover,percentage,Percent cover of a species in a turf,measured
,remark,,Comment,NA
,subplot,,Location of subturf within the turf,defined
,presence,,Presence of species,measured
,seedlings,,Presence of seedlings where cotyledons are visible,measured
,juvenile,,Presence of juveniles that are not fully grown plants,measured
,fertile,,Presence of fertile,measured
,dominant,,Species cover more than 50 percent of subturf,measured
,fun_group,,Functional group,defined
,layer,,Moss or vegetation layer,defined
,height,cm,Average height of the vascular vegetation or moss in the plot,measured
,ndvi,,NDVI measured per plot,measured
,measurement,,First or second measurement per plot,defined
,campaign,,Campaign connected to carbon flux measurements,defined
,timing,,Timing of measurement in relation to cutting treatment,defined
,month,,Month of observation,defined
,day,,Day of observaiton,defined
,logger,,Climate variable,defined
,value,,Value for climate data,measured
,unit,¡C,Unit of variable,defined
,ID,,Unique logger value,defined
,date_time,yyyy-mm-dd_hh:mm:ss,Date and time of sampling or observation,defined
,time_zone,,Time zone,defined
,shake,,Shake,defined
,error_flag,,Flag for error of logger,defined
,loggerID,,Unique ID of logger,defined
,earlyStart,yyyy-mm-dd_hh:mm:ss,Earliest starting date of logging,defined
,InitialDate_Time,yyyy-mm-dd_hh:mm:ss,Date and Time of start of logging,defined
,EndDate_Time,yyyy-mm-dd_hh:mm:ss,Date and Time of end of logging,defined
,slope,degree,Slope of the plot,measured
,aspect,degree,Aspect of the plot,measured
,date_slope,dd-mm-yyyy,Date of sampling of slope and aspect,defined
,date_depth,dd-mm-yyyy,Date of sampling of soil depth,defined
,soil_depth_cm,cm,Soil depth,measured
,layer,,Layer at which soil sample was taken: top or bottom 5cm,defined
,wet_weight_soil_g,g,Wet weight,measured
,dry_weight_soil_g,g,Dry weight,measured
,stone_weight_g,g,Stone weight,measured
,roots_weight_g,g,Root weight,measured
,sand_percent,percentage,Percentage of sand,measured
,silt_percent,percentage,Percentage of clay,measured
,clay_percent,percentage,Percentage of silt,measured
,pH_se,,Standard deviation for pH,measured
,pH,,pH value,measured
,bulk_density_se,,Standard deviation for bulk density,measured
,bulk_density_g_cm,g_cm,Bulk density,measured
,pore_water_content,percentage,Pore water content,measured
,soil_organic_matter_se,,Standard deviation for soil organic matter,measured
,soil_organic_matter,percentage,Soil organic matter,measured
,carbon_content_se,,Standard deviaiton for carbon content,measured
,carbon_content,percentage,Carbon content,measured
,C_percent_se,,Standard deviaiton for carbon content,measured
,C_percent,percentage,Carbon content,measured
,N_percent_se,,Standard deviaiton for nitrogen content,measured
,N_percent,percentage,Nitrogen content,measured
,latitude_N,degree N,Latitude of site,measured
,longitude_E,degree E,Longitude of site,measured
,elevation_m_asl,m a.s.l.,Elevation of site,measured
,authority,,Taxanomic authority,literature
,family,,Plant family name,identified
,value_numeric,,Numeric values,literature
,value_categorical,,Categorical values,literature
